GeneID	GGACP	GGACS	GGACT	GGACU	GGAXP	GGAXS	GGAXT	GGAXU	GGAXW	GGAXX	GGAXY	GGAXZ
gene_4906	0	0	0	74	42	24	22	42	66	32	22	60
gene_4907	0	0	0	12	2	2	1	3	6	2	7	4
gene_4908	0	0	0	78	49	24	34	29	71	26	19	56
gene_4909	0	0	0	79	30	17	7	9	21	6	10	15
gene_491	0	0	0	21	4	9	8	4	11	7	2	4
gene_4910	0	0	0	2	0	1	0	0	2	0	0	0
gene_4911	0	0	0	21	9	10	0	0	0	0	0	0
gene_4912	0	0	0	9	11	2	0	0	0	0	0	1
gene_4913	0	0	0	22	9	14	8	6	20	12	4	18
gene_4914	0	0	0	2	0	3	1	5	3	1	3	3
gene_4915	0	0	0	16	1	7	2	12	10	9	9	7
gene_4916	0	0	0	56	31	28	11	47	52	27	22	51
gene_4917	0	0	0	73	29	15	15	20	19	5	19	17
gene_4918	0	0	0	169	24	15	13	26	8	25	26	11
gene_4919	0	0	0	13	5	1	23	31	28	8	11	12
gene_492	0	0	0	0	0	1	0	0	0	0	0	0
gene_4920	0	0	0	51	27	15	24	11	43	20	14	36
gene_4921	3	0	0	833	268	110	424	199	769	253	351	307
gene_4922	0	3	0	447	268	183	136	172	349	155	164	279
gene_4923	0	0	0	0	0	0	0	0	0	0	0	0
gene_4924	0	0	0	0	5	1	1	1	4	0	0	1
gene_4925	0	0	0	14	18	3	7	18	20	16	29	18
gene_4926	0	0	0	0	0	0	0	0	0	1	0	0
gene_4927	0	0	0	0	0	0	0	0	0	0	0	0
gene_4928	0	0	0	2	0	0	0	3	2	5	1	3
gene_4929	0	0	0	0	0	0	0	0	0	0	1	1
gene_493	0	0	0	0	0	0	0	0	0	0	0	0
gene_4930	0	0	0	0	9	3	3	4	10	1	4	6
gene_4931	2	0	0	51	22	21	33	35	84	58	40	80
gene_4932	0	0	0	23	7	10	5	10	25	4	4	11
gene_4933	0	0	0	0	2	0	0	0	0	0	0	0
gene_4934	0	0	0	0	0	0	0	0	0	0	0	0
gene_4935	0	0	0	50	29	22	9	16	29	12	19	34
gene_4936	0	0	0	2	1	0	5	4	4	0	2	7
