GeneID	GCWZC	GCWZG	GCWZH	GCWZN	GCWZO	GCWZP	GCWZS	GCWZT	GCWZU	GCWZW	GCWZX
gene_585	0	0	0	0	0	0	0	0	0	0	0
gene_5850	0	0	0	14	6	13	9	6	10	9	28
gene_5851	0	0	0	20	17	6	6	5	6	6	3
gene_5852	0	0	0	65	38	11	13	14	20	9	24
gene_5853	0	0	0	3	1	2	2	2	4	5	8
gene_5854	0	0	0	15	9	2	5	6	7	0	14
gene_5855	0	0	0	38	28	22	7	13	19	18	34
gene_5856	0	0	0	21	15	8	7	2	9	3	20
gene_5857	0	0	0	5	1	0	1	1	1	0	3
gene_5858	0	0	0	0	1	1	2	1	2	2	4
gene_5859	0	0	0	22	16	8	3	3	9	6	12
gene_586	0	0	0	18	7	12	5	6	7	6	14
gene_5860	0	0	0	0	0	0	0	0	0	0	0
gene_5861	0	0	0	0	3	0	0	0	0	0	0
gene_5862	0	0	0	0	0	0	0	0	0	0	0
gene_5863	0	0	0	11	8	3	1	1	0	0	5
gene_5864	0	0	0	20	18	10	7	11	9	4	19
gene_5865	0	0	0	16	15	8	6	8	14	4	11
gene_5866	0	0	0	8	4	5	4	6	4	5	5
gene_5867	0	0	0	34	17	19	5	11	22	13	47
gene_5868	0	0	0	3	2	0	2	1	0	1	1
gene_5869	0	0	0	16	13	2	5	3	11	0	10
gene_587	0	0	0	1	2	1	1	1	0	2	2
gene_5870	0	0	0	79	39	31	18	33	56	18	79
gene_5871	0	0	0	31	18	10	10	5	10	4	23
gene_5872	0	0	0	5	3	3	1	2	1	3	9
gene_5873	0	0	0	279	156	84	77	129	81	26	190
gene_5874	0	0	0	7	5	1	3	2	2	0	4
gene_5875	0	0	0	15	12	7	3	3	9	9	12
gene_5876	0	0	0	16	11	7	4	3	4	2	9
gene_5877	0	0	0	8	15	1	0	4	1	0	3
gene_5878	0	0	0	19	14	9	10	6	16	10	27
gene_5879	0	0	0	30	26	16	11	18	19	8	32
gene_588	0	0	0	20	15	11	14	6	16	9	28
gene_5880	0	0	0	89	67	22	10	21	36	22	60
gene_5881	0	0	0	0	0	0	0	0	0	0	0
gene_5882	0	0	0	0	0	0	0	0	0	0	0
gene_5883	0	0	0	31	31	6	2	5	9	4	12
gene_5884	0	0	0	10	5	5	3	3	1	4	7
gene_5885	0	0	0	5	7	23	21	12	47	15	46
gene_5886	0	0	0	60	105	2	1	2	7	4	12
gene_5887	0	0	0	40	72	1	0	0	6	1	1
gene_5888	0	0	0	8	7	0	7	1	2	1	7
gene_5889	0	0	0	75	65	34	21	39	35	15	59
gene_589	0	0	0	7	5	6	5	3	4	1	13
