GeneID	GGABY	GCYUU	GCYUW	GCYUX	GCYUY	GCYUZ	GCYWA	GCYWB	GCYWC	GCYWG	GCUXP
gene_8206	0	0	5	4	12	6	12	16	6	0	7
gene_8207	0	0	4	2	3	20	6	13	1	0	3
gene_8208	0	1	0	0	0	185	41	44	36	3	39
gene_8209	0	0	6	18	19	16	11	6	2	1	3
gene_821	0	0	11	5	9	16	9	14	4	2	7
gene_8210	0	0	3	3	6	2	8	9	0	0	1
gene_8211	0	0	0	0	2	2	3	2	0	3	1
gene_8212	0	0	11	15	23	30	33	42	15	9	21
gene_8213	0	0	2	1	4	2	4	3	1	2	1
gene_8214	0	0	4	4	5	5	6	2	5	1	6
gene_8215	0	0	45	66	88	63	63	91	32	10	84
gene_8216	0	0	2	5	4	7	0	4	1	0	6
gene_8217	0	0	6	14	12	11	5	2	0	0	2
gene_8218	0	0	8	7	15	13	26	14	7	3	5
gene_8219	0	0	7	2	5	3	8	7	1	0	2
gene_822	0	0	55	140	155	75	106	150	31	7	72
gene_8220	0	0	12	7	15	28	17	30	5	8	17
gene_8221	0	0	4	9	10	24	24	27	16	4	21
gene_8222	0	0	2	3	1	1	2	0	0	0	0
gene_8223	0	0	0	8	7	0	9	8	1	1	42
gene_8224	0	0	0	0	0	0	0	0	0	0	0
gene_8225	0	0	94	136	232	185	180	306	73	19	135
gene_8226	0	0	0	0	0	0	0	0	0	0	0
gene_8227	0	0	0	0	1	0	0	0	0	0	0
gene_8228	0	0	3	12	14	3	1	6	3	2	1
gene_8229	0	0	0	0	0	0	2	0	2	0	0
gene_823	0	0	10	12	26	14	13	20	5	14	23
gene_8230	0	0	0	1	7	3	1	1	0	0	0
gene_8231	0	0	11	16	31	31	31	28	14	1	13
gene_8232	0	0	0	0	3	1	6	6	2	0	4
gene_8233	0	0	3	10	6	7	10	13	2	3	7
gene_8234	0	0	0	0	0	0	0	0	0	0	0
gene_8235	0	0	0	0	0	0	0	1	0	0	0
gene_8236	0	0	12	22	26	20	27	48	15	1	29
gene_8237	0	0	22	14	47	43	15	32	12	3	18
gene_8238	0	0	4	15	20	9	12	14	3	5	11
gene_8239	0	0	10	12	37	8	16	22	7	2	13
