GeneID	GGAYX	GGAYY	GGAYZ	GGAZA	GGAZB	GGAZC	GGAZG	GGAZH	GGAZN	GGAZO
gene_2513	0	0	0	0	0	0	0	0	0	0
gene_2514	0	0	15	18	3	9	6	2	11	4
gene_2515	0	0	7	7	1	0	0	1	2	2
gene_2516	0	0	23	18	14	40	24	4	20	27
gene_2517	0	0	28	20	5	28	10	1	6	10
gene_2518	0	0	9	9	3	22	8	1	3	11
gene_2519	0	0	18	9	31	50	35	10	38	22
gene_252	0	0	0	6	7	5	10	0	7	9
gene_2520	0	0	2	0	0	0	0	0	0	0
gene_2521	0	0	4	6	7	3	10	0	4	4
gene_2522	0	0	21	36	5	13	6	2	5	16
gene_2523	0	0	19	19	11	19	11	7	13	12
gene_2524	0	0	4	4	0	2	2	0	1	2
gene_2525	0	0	20	26	11	30	8	3	19	12
gene_2526	0	0	401	418	172	452	167	86	182	236
gene_2527	0	0	0	0	0	0	0	0	0	1
gene_2528	0	0	0	1	1	0	0	0	0	0
gene_2529	0	0	24	21	9	20	6	4	11	5
gene_253	0	0	6	10	23	34	11	9	25	34
gene_2530	0	0	8	3	2	4	4	3	2	3
gene_2531	0	0	4	9	1	4	1	2	3	0
gene_2532	0	0	28	32	6	14	11	4	19	8
gene_2533	0	0	42	65	10	18	7	7	10	23
gene_2534	0	0	0	1	0	1	0	0	1	0
gene_2535	0	0	136	130	37	80	43	27	39	46
gene_2536	0	0	68	54	80	93	37	77	185	111
gene_2537	0	0	5	2	1	8	5	0	7	2
gene_2538	0	0	5	5	12	42	35	11	178	25
gene_2539	0	0	21	18	30	60	20	14	28	18
gene_254	0	0	0	0	0	0	0	0	0	0
gene_2540	0	0	19	20	14	37	14	3	22	13
gene_2541	0	0	0	0	4	7	4	2	3	2
gene_2542	0	0	10	13	28	95	24	18	26	28
gene_2543	0	0	11	12	5	11	5	3	2	9
gene_2544	0	0	2	2	3	5	3	2	0	5
gene_2545	0	0	6	9	9	8	7	4	7	8
gene_2546	0	0	0	0	0	1	0	0	0	0
gene_2547	0	0	1	6	32	86	49	10	45	31
gene_2548	0	0	28	32	11	154	24	12	18	29
gene_2549	0	0	67	97	21	71	37	23	40	50
gene_255	0	0	31	26	66	140	54	27	36	51
gene_2550	0	0	77	58	49	173	37	27	43	58
gene_2551	0	0	36	37	18	33	16	15	36	25
gene_2552	0	0	35	52	26	66	28	13	36	29
gene_2553	0	0	11	11	6	1	5	0	6	4
gene_2554	0	0	2	0	2	0	0	1	0	5
gene_2555	0	0	0	1	0	1	0	0	0	0
gene_2556	0	0	4	3	2	3	1	0	1	5
gene_2557	0	0	40	39	22	81	28	14	33	39
gene_2558	0	0	1	2	1	6	5	3	17	1
gene_2559	0	0	1	2	2	1	0	1	21	8
gene_256	0	0	4	3	0	1	1	0	1	0
gene_2560	0	0	0	1	0	0	0	0	0	0
gene_2561	0	0	1	5	1	4	3	1	4	5
gene_2562	0	0	0	0	0	0	0	0	0	0
gene_2563	0	0	45	50	33	61	45	13	31	36
gene_2564	0	0	0	1	0	0	0	0	0	0
gene_2565	0	0	1	1	1	3	1	1	8	2
gene_2566	0	0	5	8	2	10	7	4	7	11
gene_2567	0	0	15	11	14	15	12	10	7	9
gene_2568	0	0	437	435	259	769	289	142	291	382
gene_2569	0	0	38	45	28	70	28	13	42	38
gene_257	0	0	1	0	0	1	1	0	3	2
gene_2570	0	0	10	10	7	24	8	2	12	23
gene_2571	0	0	1	6	1	1	2	0	1	1
gene_2572	0	0	294	234	166	376	153	81	195	222
gene_2573	0	0	6	10	4	8	6	5	5	10
gene_2574	0	0	0	0	1	3	0	0	0	0
gene_2575	0	0	50	50	27	49	35	11	34	26
gene_2576	0	0	129	136	85	200	82	56	88	97
gene_2577	0	0	67	45	69	139	52	33	89	52
gene_2578	0	0	16	20	17	39	23	6	14	10
gene_2579	0	0	66	85	57	119	50	30	94	50
gene_258	0	0	141	138	96	195	102	47	126	136
gene_2580	0	0	13	24	12	25	15	8	16	20
gene_2581	0	0	17	28	5	16	2	4	10	10
gene_2582	0	0	1	0	0	1	0	0	0	0
gene_2583	0	0	14	17	23	51	24	11	25	16
gene_2584	0	0	10	12	4	3	3	1	7	2
gene_2585	0	0	9	14	6	8	3	1	2	5
gene_2586	0	0	10	14	9	26	8	4	10	18
gene_2587	0	0	19	25	18	26	18	6	15	11
gene_2588	0	0	0	0	0	0	0	0	0	0
gene_2589	0	0	39	18	15	37	17	7	35	21
gene_259	0	0	17	21	19	44	21	11	23	17
gene_2590	0	0	19	5	2	5	5	3	24	5
gene_2591	0	0	1	0	1	0	0	0	15	1
gene_2592	0	0	8	12	9	23	13	1	10	9
gene_2593	0	0	73	83	53	91	56	16	75	47
gene_2594	0	0	20	11	9	27	3	2	12	11
gene_2595	0	0	0	0	1	0	0	0	0	2
gene_2596	0	0	0	0	0	0	0	0	0	0
gene_2597	0	0	2	2	0	1	0	0	3	1
gene_2598	0	0	5	1	7	4	4	4	10	5
gene_2599	0	1	15	18	21	51	18	16	35	34
gene_26	0	0	15	12	8	20	10	2	10	17
gene_260	0	0	5	3	5	7	3	5	1	6
gene_2600	0	0	9	5	16	30	18	15	19	17
gene_2601	0	0	34	45	39	79	28	18	17	46
gene_2602	0	0	57	73	48	107	42	31	75	124
gene_2603	0	0	0	0	0	0	0	0	0	0
gene_2604	0	0	0	0	0	0	0	0	0	0
gene_2605	0	0	229	304	998	1686	522	638	1057	1768
gene_2606	0	0	7	14	10	29	11	8	19	22
gene_2607	0	0	23	26	8	14	6	3	7	13
gene_2608	0	0	16	13	6	13	7	0	3	9
gene_2609	0	0	0	0	0	0	0	0	0	0
gene_261	0	0	2	2	0	4	2	0	1	0
gene_2610	0	0	30	29	26	49	15	14	12	27
gene_2611	0	0	11	12	2	3	2	1	3	5
gene_2612	0	0	2	6	2	0	1	0	3	0
gene_2613	0	0	0	0	0	2	1	0	0	0
gene_2614	0	0	34	44	22	46	32	11	56	36
gene_2615	0	0	28	43	32	54	31	12	32	37
gene_2616	0	0	51	49	33	64	25	11	47	45
