GeneID	GCWZY	GCWZZ	GCXAA	GCXAB	GCXAC	GCXAG	GCXAH	GCXAN	GCXAO	GCXAP	GCXAS	GCXAT
gene_3501	0	0	0	0	0	0	0	0	0	0	0	0
gene_3502	0	0	0	0	4	4	5	2	4	1	1	0
gene_3503	0	0	0	37	27	59	16	21	24	9	17	12
gene_3504	0	0	0	132	94	194	61	144	57	42	33	59
gene_3505	0	0	0	0	1	13	3	3	1	1	2	4
gene_3506	0	0	0	4	2	0	3	4	3	0	0	2
gene_3507	0	0	0	24	17	12	17	35	17	6	9	6
gene_3508	0	0	0	675	339	213	177	563	188	161	153	250
gene_3509	0	0	0	4	16	25	8	14	12	10	7	5
gene_351	0	0	0	0	0	0	0	0	0	0	0	0
gene_3510	0	0	0	22	17	8	16	45	21	5	6	11
gene_3511	0	0	0	9	8	7	9	10	9	9	10	16
gene_3512	0	0	0	26	20	14	4	38	19	6	13	14
gene_3513	0	0	0	6	1	3	1	5	0	1	0	1
gene_3514	0	0	0	20	11	10	3	12	13	1	6	3
gene_3515	0	0	0	56	98	128	22	72	39	25	20	48
gene_3516	0	0	0	7	8	6	2	9	4	1	3	2
gene_3517	0	0	0	4	7	7	2	6	3	4	4	3
gene_3518	0	0	0	0	0	0	0	0	0	0	0	0
gene_3519	0	0	0	0	0	0	0	0	0	0	0	0
gene_352	0	0	0	29	39	42	17	20	12	4	4	11
gene_3520	0	0	0	0	0	1	0	0	0	0	1	1
gene_3521	0	0	0	20	28	24	6	24	16	5	4	5
gene_3522	0	0	0	48	49	58	25	38	29	21	13	29
gene_3523	0	0	0	2	2	1	10	19	33	4	3	14
gene_3524	0	0	0	109	161	193	75	165	57	73	56	93
gene_3525	0	0	0	1	0	0	0	0	1	0	2	0
gene_3526	0	0	0	274	213	142	56	225	87	51	61	57
gene_3527	0	0	0	13	16	15	11	17	4	7	2	6
gene_3528	0	0	0	7	9	9	12	15	5	2	2	10
gene_3529	0	0	0	11	10	13	15	35	22	6	10	14
gene_353	0	0	0	7	5	3	2	7	1	7	1	1
gene_3530	0	0	0	41	59	64	16	32	24	13	11	23
gene_3531	0	0	0	0	0	0	0	0	0	0	0	0
gene_3532	0	0	0	0	0	0	0	0	0	0	0	0
gene_3533	0	0	0	20	36	26	16	37	16	9	8	13
gene_3534	0	0	0	22	28	29	9	13	3	6	3	12
gene_3535	0	0	0	7	14	20	3	8	1	2	1	6
gene_3536	0	0	0	0	1	1	1	2	1	1	1	1
gene_3537	0	0	0	43	39	27	5	21	21	2	17	11
gene_3538	0	0	0	13	6	18	1	7	4	0	5	5
gene_3539	0	0	0	2	2	1	0	3	1	0	0	1
gene_354	0	0	0	51	60	37	6	31	20	15	18	12
gene_3540	0	0	0	47	44	64	15	43	21	7	7	15
gene_3541	0	0	0	8	7	5	4	8	9	6	3	2
gene_3542	0	0	0	1	1	1	0	0	0	0	0	0
gene_3543	0	0	0	42	28	34	15	31	12	5	8	19
gene_3544	0	0	0	14	12	14	5	7	3	2	2	5
gene_3545	0	0	0	32	22	25	10	20	11	4	12	9
gene_3546	0	0	0	17	15	10	8	13	6	7	6	12
gene_3547	0	0	0	10	11	17	2	16	9	4	4	5
gene_3548	0	0	0	13	13	10	15	15	16	3	4	13
gene_3549	0	0	0	1	1	2	0	2	1	0	0	0
gene_355	0	0	0	42	57	38	17	36	18	17	12	20
gene_3550	0	0	0	207	207	177	41	171	58	42	32	36
gene_3551	0	0	0	16	58	50	10	25	28	7	9	16
gene_3552	0	0	0	2	2	2	0	0	0	0	0	0
gene_3553	0	0	0	5	3	4	1	1	1	0	2	0
gene_3554	0	0	0	3	6	3	1	1	3	3	1	3
gene_3555	0	0	0	15	10	20	13	12	11	6	4	7
gene_3556	0	0	0	1	0	0	0	0	0	0	0	0
gene_3557	0	0	0	7	13	7	6	4	8	1	2	3
gene_3558	0	0	0	43	58	47	12	33	19	11	15	19
gene_3559	0	0	0	6	1	3	1	1	3	0	0	0
gene_356	0	0	0	98	80	68	52	78	61	31	31	47
gene_3560	0	0	0	19	17	25	6	15	7	4	3	8
gene_3561	0	0	0	0	0	0	0	0	0	0	0	0
gene_3562	0	0	0	4	5	10	0	1	0	1	0	0
gene_3563	0	0	0	0	0	1	0	3	2	3	1	0
gene_3564	0	0	0	0	1	0	0	0	0	0	0	0
gene_3565	0	0	0	7	12	6	2	4	3	0	0	0
gene_3566	0	0	0	0	0	0	0	0	0	0	0	0
gene_3567	1	0	0	159	82	63	39	124	56	24	35	35
gene_3568	0	0	0	0	0	0	0	1	0	0	0	0
gene_3569	0	0	0	0	0	0	0	0	0	0	0	0
gene_357	0	0	0	323	218	145	143	464	241	133	127	202
gene_3570	0	0	0	0	0	0	0	0	0	0	0	0
gene_3571	0	0	0	0	0	0	0	0	0	0	0	0
gene_3572	0	0	0	14	30	20	13	37	15	19	8	10
gene_3573	0	0	0	2	7	6	4	3	2	3	4	1
gene_3574	0	0	0	16	14	24	3	10	7	1	4	3
gene_3575	0	0	0	0	0	0	0	0	0	0	0	0
gene_3576	0	0	0	14	5	3	2	15	6	2	4	4
gene_3577	0	0	0	6	3	3	0	6	1	1	1	6
gene_3578	0	0	0	24	43	30	12	27	27	7	1	12
gene_3579	0	0	0	92	53	66	142	153	97	77	70	89
gene_358	0	0	0	10	7	7	15	17	17	2	1	10
gene_3580	0	0	0	7	13	15	5	13	2	3	7	5
gene_3581	0	0	0	0	2	0	0	0	0	0	0	0
gene_3582	0	0	0	0	0	0	0	0	0	0	0	0
gene_3583	1	0	0	1	1	2	2	4	1	2	2	0
gene_3584	0	0	0	22	22	42	18	20	19	12	7	13
gene_3585	0	0	0	48	50	82	39	77	65	32	20	37
gene_3586	0	0	0	1	4	8	1	2	2	0	0	0
gene_3587	0	0	0	23	15	9	6	10	10	3	3	14
gene_3588	0	0	0	11	23	13	8	14	19	4	4	6
gene_3589	0	0	0	12	20	19	3	19	24	9	6	8
gene_359	0	0	0	23	51	75	8	11	14	10	8	15
gene_3590	0	0	0	0	0	0	0	0	0	0	0	0
gene_3591	0	0	0	5	5	3	1	4	3	0	1	0
gene_3592	0	0	0	192	245	254	57	205	93	49	33	76
gene_3593	0	0	0	3	8	12	2	7	6	4	0	2
gene_3594	0	0	0	0	0	0	0	0	0	0	0	0
gene_3595	0	0	0	8	9	14	2	9	5	1	1	1
gene_3596	0	0	0	8	7	2	3	7	4	1	2	4
gene_3597	0	0	0	90	35	15	26	100	58	14	20	21
gene_3598	0	0	0	1	1	1	0	1	0	6	0	1
gene_3599	0	0	0	2	3	0	0	2	3	0	0	0
gene_36	0	0	0	24	21	26	2	11	10	1	3	11
gene_360	0	0	0	18	17	16	15	18	10	9	5	8
gene_3600	0	0	0	0	0	2	0	0	0	1	0	1
gene_3601	0	0	0	13	11	16	6	13	8	4	7	7
gene_3602	0	0	0	0	0	0	0	0	0	0	0	0
gene_3603	0	0	0	9	13	31	7	16	2	4	5	7
gene_3604	0	0	0	32	28	60	11	26	12	18	10	16
gene_3605	0	0	0	8	3	7	5	3	3	0	1	1
gene_3606	0	0	0	6	14	14	2	9	7	5	5	5
gene_3607	0	0	0	0	2	1	0	3	1	0	0	0
gene_3608	0	0	0	2	3	3	0	0	0	1	0	0
gene_3609	0	0	0	0	0	0	0	0	0	0	0	0
gene_361	0	0	0	36	11	42	17	31	21	16	7	30
gene_3610	0	0	0	0	0	0	0	0	0	0	0	0
gene_3611	0	0	0	0	0	0	0	0	0	0	0	0
gene_3612	0	0	0	2	10	8	2	2	1	0	2	3
