GeneID	GCUYS	GCUYT	GCUYU	GCUYW	GCUYX	GCUYY	GCUYZ	GCUZA	GCUZB	GCUYN	GCUYO
gene_8670	0	0	0	6	18	30	99	10	20	24	65
gene_8671	0	0	0	114	126	47	199	52	31	67	155
gene_8672	0	0	0	0	0	0	0	0	0	0	0
gene_8673	0	0	0	27	31	19	86	14	8	25	52
gene_8674	0	0	0	51	64	39	121	30	7	32	45
gene_8675	0	0	0	113	111	46	139	44	23	29	79
gene_8676	0	0	0	35	15	13	47	14	6	16	28
gene_8677	0	0	0	121	217	93	264	80	29	71	165
gene_8678	0	0	0	0	0	0	0	0	0	0	0
gene_8679	0	0	0	0	0	0	0	0	0	0	0
gene_868	0	0	0	30	59	20	74	7	6	10	45
gene_8680	0	0	0	25	20	26	51	13	4	14	12
gene_8681	0	0	0	0	0	0	0	0	0	0	0
gene_8682	0	0	0	33	11	17	57	12	12	9	53
gene_8683	0	0	0	24	14	24	160	13	8	23	63
gene_8684	0	0	0	20	27	12	57	10	10	21	37
gene_8685	0	0	0	27	101	63	90	32	5	27	34
gene_8686	0	0	0	2	1	0	0	0	0	2	0
gene_8687	0	0	0	23	106	67	125	23	16	36	51
gene_8688	0	0	0	0	0	0	0	0	0	0	0
gene_8689	0	0	0	0	0	0	0	0	0	0	0
gene_869	0	0	0	32	40	39	98	19	7	12	30
gene_8690	0	0	0	12	6	3	12	2	1	0	7
gene_8691	0	0	0	3	5	3	22	0	3	1	6
gene_8692	0	0	0	0	0	0	1	0	0	1	0
gene_8693	0	0	0	13	16	8	16	6	2	0	13
gene_8694	0	0	0	1	0	0	1	0	0	1	0
gene_8695	0	0	0	0	1	1	2	1	0	1	2
gene_8696	0	0	0	0	26	3	8	1	0	1	2
gene_8697	0	0	0	2	7	0	2	0	0	0	6
gene_8698	0	0	0	4	1	1	4	0	0	0	3
gene_8699	0	0	0	0	0	0	0	0	0	0	0
gene_87	0	0	0	14	8	5	11	4	1	2	8
gene_870	0	0	0	39	53	23	70	12	13	22	23
gene_8700	0	0	0	0	0	0	0	0	0	0	0
gene_8701	0	0	0	0	2	0	3	0	0	0	0
gene_8702	0	0	0	0	0	0	0	0	0	0	0
gene_8703	0	0	0	1	5	8	18	3	1	4	3
gene_8704	0	0	0	5	3	5	28	3	0	2	5
gene_8705	0	0	0	52	94	40	141	36	17	35	88
gene_8706	0	0	0	0	0	0	3	0	0	0	0
gene_8707	0	0	0	35	63	23	46	20	6	15	39
gene_8708	0	0	0	5	8	5	8	1	3	0	8
gene_8709	0	0	0	43	109	102	228	46	13	41	117
gene_871	0	0	0	9	22	9	34	11	8	6	21
gene_8710	0	0	0	0	0	0	0	0	0	1	0
gene_8711	0	0	0	215	203	101	226	50	27	35	155
gene_8712	0	0	0	3	6	1	6	3	0	0	5
gene_8713	0	0	0	92	150	65	128	60	26	40	117
gene_8714	0	0	0	3	13	8	10	3	1	7	10
gene_8715	0	0	0	31	25	13	59	15	3	21	28
gene_8716	0	0	0	9	9	0	20	5	2	0	15
gene_8717	0	0	0	7	8	9	32	3	1	1	6
