GeneID	GGHNG	GGHNH	GGHNN	GGHNO	GGHNP	GGHNS	GGHNT	GGHNU	GGHNW	GGAZP	GGAZS	GGHNX
gene_6257	0	0	0	0	1	1	0	2	0	0	0	1
gene_6258	0	0	0	3	0	0	0	5	1	1	3	0
gene_6259	0	0	0	4	11	9	10	13	15	7	18	7
gene_626	0	0	0	0	0	0	0	0	0	0	0	0
gene_6260	0	0	0	0	0	0	0	0	0	0	0	0
gene_6261	0	0	0	35	27	20	14	22	29	7	42	8
gene_6262	0	0	0	0	0	0	0	0	0	0	0	0
gene_6263	0	0	0	84	95	66	92	156	149	32	198	57
gene_6264	0	0	0	0	0	0	0	0	0	0	0	0
gene_6265	0	0	0	0	0	0	0	0	0	0	0	0
gene_6266	0	0	0	0	2	0	0	0	0	0	0	0
gene_6267	0	0	0	0	0	0	0	0	0	0	0	0
gene_6268	0	0	0	1	0	0	1	2	1	0	1	1
gene_6269	0	0	0	25	27	18	24	48	53	12	64	19
gene_627	0	0	0	21	5	12	7	14	10	6	16	5
gene_6270	0	0	0	1	0	0	0	0	0	0	0	0
gene_6271	0	0	0	109	154	147	284	355	818	107	1021	553
gene_6272	0	0	0	2	0	1	2	2	6	0	9	1
gene_6273	0	0	0	32	47	29	17	25	28	8	33	10
gene_6274	0	0	0	37	36	30	10	23	25	3	41	12
gene_6275	0	0	0	0	0	0	0	0	0	0	0	0
gene_6276	0	0	0	0	0	0	0	0	0	0	0	0
gene_6277	0	0	0	4	2	2	3	1	6	0	5	1
gene_6278	0	0	0	15	17	17	5	12	8	4	13	3
gene_6279	0	0	0	13	24	11	16	25	19	6	50	10
gene_628	0	0	0	0	0	0	0	0	0	0	0	0
gene_6280	0	0	0	20	12	11	7	19	15	6	31	4
gene_6281	0	0	0	6	6	8	7	14	19	5	25	11
gene_6282	0	0	0	1	4	3	1	4	11	1	7	2
gene_6283	0	0	0	0	0	0	0	0	0	0	0	0
gene_6284	0	0	0	4	11	3	2	2	13	1	8	1
gene_6285	0	0	0	3	0	0	0	0	0	0	0	0
gene_6286	0	0	0	44	50	22	50	52	61	10	110	27
gene_6287	0	0	0	22	20	13	13	26	25	15	35	15
gene_6288	0	0	0	0	1	2	0	5	1	0	0	1
gene_6289	0	0	0	54	49	28	33	39	49	17	89	29
gene_629	0	0	0	27	32	20	23	41	33	6	59	13
gene_6290	0	0	0	26	21	16	23	35	33	13	48	14
gene_6291	0	0	0	1	0	1	4	3	4	2	18	2
gene_6292	0	0	0	13	7	11	12	19	22	3	32	7
gene_6293	0	0	0	0	0	0	0	0	0	1	0	0
gene_6294	0	0	0	8	6	5	4	4	16	4	9	0
gene_6295	0	0	0	56	40	20	41	54	46	14	56	10
gene_6296	0	0	0	7	9	6	8	13	16	4	13	7
gene_6297	0	0	0	7	11	3	6	18	17	7	15	6
