GeneID	GCUXS	GCUXT	GCUXU	GCUXW	GCUXX	GCUXY	GCUXZ	GCUYA	GCUYB	GCUYC	GCUYG	GCUYH
gene_318	0	0	0	7	8	4	8	6	2	2	1	1
gene_3180	0	0	0	0	0	0	0	0	0	0	0	0
gene_3181	0	0	0	0	0	0	0	0	0	0	0	0
gene_3182	0	0	0	15	11	11	19	5	9	12	0	4
gene_3183	0	0	0	0	0	0	0	0	0	0	0	0
gene_3184	0	0	0	16	14	11	62	47	29	24	11	17
gene_3185	0	0	0	21	11	16	17	5	5	8	3	9
gene_3186	0	0	0	3	3	3	7	6	14	2	1	11
gene_3187	0	0	0	1	1	1	3	1	2	1	0	0
gene_3188	0	0	0	1	1	0	0	3	0	1	1	1
gene_3189	0	0	0	7	2	11	2	0	6	1	1	1
gene_319	0	0	0	9	18	26	43	28	25	4	1	24
gene_3190	0	0	0	0	0	0	0	0	0	0	0	0
gene_3191	0	0	0	0	0	0	0	0	0	0	0	0
gene_3192	0	0	0	1	0	3	0	0	0	1	0	0
gene_3193	0	0	0	16	26	281	14	5	5	2	0	5
gene_3194	0	0	0	51	21	41	30	19	19	13	3	21
gene_3195	0	0	0	0	0	0	0	0	0	0	0	0
gene_3196	0	0	0	1	1	1	5	5	0	1	0	0
gene_3197	0	0	0	23	6	24	13	6	13	4	4	7
gene_3198	0	0	0	5	7	1	1	2	0	1	2	1
gene_3199	0	0	0	5	5	9	2	5	3	3	1	1
gene_32	0	0	0	0	0	0	0	0	0	0	0	0
gene_320	0	0	0	50	25	57	49	27	21	11	17	31
gene_3200	0	0	0	0	0	0	0	0	0	0	0	0
gene_3201	0	0	0	38	13	23	26	15	13	12	5	13
gene_3202	0	0	0	16	9	14	40	32	13	15	4	18
gene_3203	0	0	0	0	0	0	0	0	0	0	0	0
gene_3204	0	0	0	2	0	4	5	2	2	0	0	1
gene_3205	0	0	0	105	62	112	105	40	41	23	8	48
gene_3206	0	0	0	35	30	59	34	13	11	4	5	14
gene_3207	0	0	0	57	57	66	44	27	22	9	1	20
gene_3208	0	0	0	15	15	22	17	11	11	9	2	15
gene_3209	0	0	0	10	9	11	28	32	33	12	6	14
gene_321	0	0	0	7	5	10	15	5	14	3	2	16
gene_3210	0	0	0	0	0	0	0	0	0	0	0	0
gene_3211	0	0	0	0	0	0	0	0	0	0	0	0
gene_3212	0	0	0	51	32	36	64	19	42	11	11	28
gene_3213	0	0	0	10	2	6	2	6	1	1	1	0
gene_3214	0	0	0	25	19	32	29	10	10	16	8	18
gene_3215	0	0	0	10	7	15	11	5	3	0	2	1
gene_3216	0	0	0	0	0	1	4	4	7	4	1	5
gene_3217	0	0	0	4	2	4	6	0	1	2	0	3
gene_3218	0	0	0	312	150	214	158	67	83	65	21	83
gene_3219	0	0	0	2	4	5	5	1	6	1	0	5
gene_322	0	0	0	4	2	3	5	1	5	0	1	7
gene_3220	0	0	0	47	37	83	778	426	109	226	69	651
gene_3221	0	0	0	23	14	18	20	8	11	6	3	9
gene_3222	0	0	0	0	0	0	0	0	0	0	0	0
gene_3223	0	0	0	54	27	43	42	22	23	15	3	22
gene_3224	0	0	0	61	35	63	67	22	20	11	9	26
gene_3225	0	0	0	11	12	15	8	13	5	8	0	4
gene_3226	0	0	0	5	0	4	1	1	0	0	0	0
gene_3227	0	0	0	5	2	5	10	4	9	3	0	14
gene_3228	0	0	0	22	14	26	27	11	14	8	6	9
gene_3229	0	0	0	0	1	3	9	1	1	4	0	7
gene_323	0	0	0	12	8	16	14	2	10	5	2	6
gene_3230	0	0	0	4	3	2	5	3	5	0	0	6
gene_3231	0	0	0	47	28	54	23	14	12	4	4	19
gene_3232	0	0	0	12	13	17	3	4	2	1	0	4
gene_3233	0	0	0	17	18	29	17	11	9	3	6	11
gene_3234	0	0	0	3	0	0	0	2	3	0	0	1
gene_3235	0	0	0	7	21	27	20	8	8	6	3	20
gene_3236	0	0	0	1	0	1	0	0	1	0	0	0
gene_3237	0	0	0	4	2	5	6	3	3	2	1	7
gene_3238	0	0	0	0	1	0	0	0	0	0	0	0
gene_3239	0	0	0	25	19	23	31	22	18	21	3	24
gene_324	0	0	0	2	0	0	1	1	2	0	0	4
gene_3240	0	0	0	8	10	23	14	6	7	1	2	8
gene_3241	0	0	0	0	2	0	0	0	0	0	0	1
gene_3242	0	0	0	2	3	0	2	1	0	1	0	2
gene_3243	0	0	0	7	3	12	4	6	4	1	1	5
gene_3244	0	0	0	93	76	136	138	53	73	30	18	64
gene_3245	0	0	0	324	145	269	207	111	102	73	37	94
gene_3246	0	0	0	37	21	27	38	17	30	4	3	20
gene_3247	0	0	0	17	5	4	4	5	3	1	0	2
gene_3248	0	0	0	1	1	0	0	0	0	1	1	1
gene_3249	0	0	0	5	5	3	11	4	9	2	3	9
gene_325	0	0	0	0	0	0	0	0	0	0	0	0
gene_3250	0	0	0	41	23	37	54	19	14	10	5	37
gene_3251	0	0	0	9	16	17	2	5	5	1	2	1
gene_3252	0	0	0	5	2	4	4	4	2	0	0	1
