GeneID	GGAAT	GGAAU	GGAAW	GGAAX	GGAAY	GGAAZ	GGABA	GGABB	GGABC	GCYUP	GCYUS	GCYUT
gene_1515	0	0	0	14	18	22	5	2	7	6	6	1
gene_1516	0	0	0	0	0	0	0	0	0	0	0	0
gene_1517	0	0	0	5	24	26	7	19	18	103	65	29
gene_1518	0	0	0	0	0	0	0	0	0	0	0	0
gene_1519	0	0	0	5	27	39	2	5	14	10	9	6
gene_152	0	0	0	0	9	5	1	1	6	4	4	0
gene_1520	0	0	0	1	3	0	1	0	2	1	2	1
gene_1521	0	0	0	10	36	50	9	19	30	25	15	13
gene_1522	0	0	0	34	195	267	37	70	122	85	80	17
gene_1523	0	0	0	0	1	2	0	0	0	0	0	0
gene_1524	0	0	0	1	0	3	0	0	2	1	2	0
gene_1525	0	0	0	13	77	113	28	23	50	57	29	23
gene_1526	0	0	0	6	20	27	3	12	20	17	4	7
gene_1527	0	0	0	9	48	67	10	9	32	20	21	4
gene_1528	0	0	0	1	4	10	0	2	8	13	7	6
gene_1529	0	0	0	0	0	1	0	0	0	4	0	0
gene_153	0	0	0	9	44	55	6	21	36	30	27	13
gene_1530	0	0	0	0	0	0	0	0	0	0	0	0
gene_1531	0	0	0	0	0	0	0	0	0	0	0	0
gene_1532	0	0	0	1	4	4	3	8	0	1	5	1
gene_1533	0	0	0	0	2	10	1	0	6	2	2	1
gene_1534	0	0	0	0	0	0	0	0	0	1	0	0
gene_1535	0	0	0	48	290	432	43	91	179	93	86	37
gene_1536	0	0	0	1	2	4	0	1	1	11	0	0
gene_1537	0	0	0	4	47	51	3	18	12	11	18	8
gene_1538	0	0	0	21	106	154	17	36	49	20	26	14
gene_1539	0	0	0	32	120	160	67	63	85	161	93	39
gene_154	0	0	0	2	11	19	0	4	11	2	3	2
gene_1540	0	0	0	7	17	25	5	14	10	17	8	3
gene_1541	0	0	0	0	13	15	1	5	6	0	2	1
gene_1542	0	0	0	5	16	48	11	7	26	12	9	5
gene_1543	0	0	0	6	29	52	19	16	42	42	35	15
gene_1544	0	0	0	1	6	4	0	2	2	3	3	5
gene_1545	0	0	0	11	13	18	1	2	8	6	3	1
gene_1546	0	0	0	0	4	10	3	3	8	7	5	3
gene_1547	0	0	0	20	89	124	29	22	52	82	52	23
gene_1548	0	0	0	0	0	0	0	0	0	0	0	0
gene_1549	0	0	0	6	40	38	11	16	20	23	17	8
gene_155	0	0	0	0	1	0	1	2	3	1	0	0
gene_1550	0	0	0	2	20	25	2	8	17	3	12	4
gene_1551	0	0	0	5	21	28	15	8	37	21	18	6
gene_1552	0	0	0	9	55	46	5	18	24	22	19	7
gene_1553	0	0	0	0	0	0	0	0	0	0	0	0
gene_1554	0	0	0	0	4	8	0	3	0	6	4	0
gene_1555	0	0	0	0	14	27	6	12	10	22	18	10
gene_1556	0	0	0	0	9	14	0	7	6	12	9	4
gene_1557	0	0	0	10	23	49	18	22	29	21	29	14
gene_1558	0	0	0	6	15	22	4	9	21	4	12	7
gene_1559	0	0	0	0	3	0	1	1	3	3	0	1
gene_156	0	0	0	0	1	2	1	2	2	3	0	0
gene_1560	0	0	0	1	6	7	1	4	7	8	2	2
gene_1561	0	0	0	12	10	18	4	7	11	16	17	6
gene_1562	0	0	0	18	82	131	15	32	66	63	43	27
gene_1563	0	0	0	1	8	28	4	6	11	10	2	3
gene_1564	0	0	0	1	15	21	1	4	10	3	2	7
gene_1565	0	0	0	4	8	11	2	7	17	7	5	3
gene_1566	0	0	0	31	107	167	24	52	100	53	59	27
gene_1567	0	0	0	12	22	32	2	16	11	18	18	3
gene_1568	0	0	0	0	0	0	0	0	0	0	0	0
gene_1569	0	0	0	2	7	8	3	6	11	14	6	4
gene_157	0	0	0	0	0	0	0	0	0	0	0	0
gene_1570	0	0	0	15	44	59	42	44	53	64	45	25
gene_1571	0	0	0	5	18	21	3	15	8	21	20	6
gene_1572	0	0	0	0	0	0	0	0	0	0	0	0
gene_1573	0	0	0	0	0	0	0	0	0	0	0	0
gene_1574	0	0	0	2	13	23	6	9	10	10	9	6
gene_1575	0	0	0	8	7	9	2	3	0	3	6	2
gene_1576	0	0	0	15	51	90	20	26	72	50	48	26
gene_1577	0	0	0	0	2	0	1	1	3	0	0	0
gene_1578	0	0	0	0	3	10	0	1	2	0	2	1
gene_1579	0	0	0	2	1	5	0	1	3	1	1	3
gene_158	0	0	0	0	3	9	0	1	2	3	1	0
gene_1580	0	0	0	0	1	5	0	1	1	0	0	0
gene_1581	0	0	0	2	4	6	8	11	7	14	9	4
gene_1582	0	0	0	110	609	882	92	287	392	42	117	38
gene_1583	0	0	0	3	22	26	5	13	10	9	3	6
gene_1584	0	0	0	7	64	113	12	22	30	29	25	10
gene_1585	0	0	0	0	2	3	0	0	0	1	1	0
