GeneID	GGABG	GGABH	GGABN	GGABO	GGABP	GGABS	GGABT	GGABU	GGABW	GGABX
gene_10145	0	0	0	1	0	1	4	7	2	0
gene_10146	0	0	0	0	0	0	0	0	0	0
gene_10147	0	0	0	4	1	11	7	23	1	9
gene_10148	0	0	0	0	0	0	0	0	0	0
gene_10149	0	0	0	3	0	0	0	0	3	1
gene_1015	0	0	0	45	2	1	1	19	12	12
gene_10150	0	0	0	16	1	3	2	14	6	6
gene_10151	0	0	0	24	1	4	0	29	1	9
gene_10152	0	0	0	5	1	6	2	3	1	4
gene_10153	0	0	0	115	0	2	1	7	3	5
gene_10154	0	0	0	0	0	0	0	0	0	1
gene_10155	0	0	0	24	0	2	4	10	5	7
gene_10156	0	0	0	14	0	3	5	13	4	3
gene_10157	0	0	0	14	0	2	1	10	2	3
gene_10158	0	0	0	4	1	1	1	6	0	4
gene_10159	0	0	0	0	0	0	0	3	0	0
gene_1016	0	0	0	5	1	3	2	25	3	11
gene_10160	0	0	0	0	0	0	0	0	0	0
gene_10161	0	0	0	1	0	0	0	1	0	0
gene_10162	0	0	0	17	0	0	2	9	5	5
gene_10163	0	0	0	3	0	0	0	0	0	1
gene_10164	0	0	0	9	1	1	1	7	3	4
gene_10165	0	0	0	0	0	2	0	0	0	1
gene_10166	0	0	0	3	0	0	4	6	1	2
gene_10167	0	0	0	21	3	13	3	19	6	17
gene_10168	0	0	0	10	2	12	8	44	12	13
gene_10169	0	0	0	0	0	0	0	0	0	0
gene_1017	0	0	0	14	0	7	8	25	5	14
gene_10170	0	0	0	1	0	3	0	4	1	0
gene_10171	0	0	0	7	0	13	3	35	8	11
gene_10172	0	0	0	3	0	0	0	0	0	1
gene_10173	0	0	0	2	0	0	0	1	0	1
gene_10174	0	0	0	0	0	0	0	0	0	0
gene_10175	0	0	0	4	0	4	0	2	2	2
gene_10176	0	0	0	0	0	0	0	0	0	0
gene_10177	0	0	0	0	0	0	0	0	0	0
gene_10178	0	0	0	0	0	0	0	0	0	0
gene_10179	0	0	0	0	0	0	0	0	0	0
gene_1018	0	0	0	4	0	1	2	17	1	1
gene_10180	0	0	0	0	0	0	0	0	0	0
gene_10181	0	0	0	0	0	0	0	0	0	0
gene_10182	0	0	0	0	0	0	0	0	0	0
gene_10183	0	0	0	0	0	0	0	0	0	0
gene_10184	0	0	0	23	0	3	0	9	6	10
gene_10185	0	0	0	0	0	0	0	0	0	0
gene_10186	0	0	0	0	0	0	0	0	0	0
gene_10187	0	0	0	2	1	2	7	4	3	3
gene_10188	0	0	0	0	0	0	0	0	0	0
gene_10189	0	0	0	0	0	0	0	0	0	0
gene_1019	0	0	0	8	1	1	2	12	4	7
gene_10190	0	0	0	0	0	1	0	0	0	0
gene_10191	0	0	0	0	0	0	0	0	0	0
gene_10192	0	0	0	0	0	0	0	0	0	0
gene_10193	0	0	0	0	0	0	0	0	0	0
gene_10194	0	0	0	0	0	0	0	0	0	0
gene_10195	0	0	0	0	0	0	0	0	0	0
gene_10196	0	0	0	0	0	0	0	0	0	0
gene_10197	0	0	0	0	0	0	0	0	0	0
gene_10198	0	0	0	0	0	0	0	0	0	0
gene_10199	0	0	0	0	0	0	0	0	0	0
gene_102	0	0	0	0	0	0	0	0	0	0
gene_1020	0	0	0	5	0	0	0	1	0	0
gene_10200	0	0	0	0	0	0	0	0	0	0
gene_10201	0	0	0	0	0	0	0	0	0	0
gene_10202	0	0	0	0	0	0	0	0	0	0
gene_10203	0	0	0	0	0	0	0	0	0	0
gene_10204	0	0	0	0	0	0	0	0	0	0
gene_10205	0	0	0	0	0	0	0	0	0	0
gene_10206	0	0	0	0	0	0	0	0	0	0
gene_10207	0	0	0	0	0	0	0	0	0	0
gene_10208	0	0	0	3	0	0	0	0	0	0
gene_10209	0	0	0	404	34	382	293	1401	752	590
gene_1021	0	0	0	0	0	0	0	0	0	0
gene_10210	0	0	0	0	0	0	0	0	0	0
gene_10211	0	0	0	0	0	0	0	0	0	0
gene_10212	0	0	0	0	0	0	0	0	0	0
gene_10213	0	0	0	0	0	0	0	0	0	0
gene_10214	0	0	0	0	0	0	0	0	0	0
gene_10215	0	0	0	0	0	0	0	0	0	0
gene_10216	0	0	0	0	0	0	0	0	0	0
gene_10217	0	0	0	0	0	0	0	0	0	0
gene_10218	0	0	0	0	0	0	0	0	0	0
gene_10219	0	0	0	0	0	0	0	0	0	0
gene_1022	0	0	0	5	0	0	1	1	0	0
gene_10220	0	0	0	0	0	0	0	0	0	0
gene_10221	0	0	0	0	0	0	0	0	0	0
gene_10222	0	0	0	0	0	0	0	0	0	0
gene_10223	0	0	0	0	0	0	1	0	0	1
gene_10224	0	0	0	0	0	0	0	0	0	0
gene_10225	0	0	0	0	0	0	0	0	0	0
gene_10226	0	0	0	1	0	0	1	1	0	1
gene_10227	0	0	0	0	0	0	0	0	0	0
gene_10228	0	0	0	0	0	0	0	0	0	0
gene_10229	0	0	0	0	0	0	0	0	0	0
gene_1023	0	0	0	0	0	0	0	0	0	0
gene_10230	0	0	0	3	0	0	0	2	0	3
gene_10231	0	0	0	0	0	0	0	0	0	0
gene_10232	0	0	0	0	0	0	0	0	0	0
gene_10233	0	0	0	0	0	0	0	0	0	0
gene_1024	0	0	0	115	16	27	20	189	37	82
gene_1025	0	0	0	107	5	36	12	164	33	63
gene_1026	0	0	0	0	0	0	0	1	0	0
gene_1027	0	0	0	15	2	3	1	8	5	9
gene_1028	0	0	0	73	5	36	13	200	38	59
gene_1029	0	0	0	0	0	0	0	0	0	0
gene_103	0	0	0	0	0	0	0	0	0	0
gene_1030	0	0	0	24	4	6	3	29	11	16
gene_1031	0	0	0	21	2	91	72	186	81	67
gene_1032	0	0	0	5	0	0	3	23	1	15
gene_1033	0	0	0	0	1	0	0	0	0	1
gene_1034	0	0	0	32	1	0	9	34	7	14
gene_1035	0	0	0	146	11	35	31	180	49	123
gene_1036	0	0	0	5	2	0	0	18	3	12
gene_1037	0	0	1	172	8	34	24	186	49	128
gene_1038	0	0	0	19	0	3	5	19	8	13
gene_1039	0	0	0	3	0	5	7	38	6	28
gene_104	0	0	0	0	0	0	0	0	0	0
gene_1040	0	0	0	57	3	28	25	99	27	111
gene_1041	0	0	0	31	2	13	8	31	9	36
gene_1042	0	0	0	8	0	1	4	16	2	15
gene_1043	0	0	0	13	2	7	0	9	6	8
gene_1044	0	0	0	117	6	16	11	116	29	81
gene_1045	0	0	0	19	1	6	1	16	1	3
gene_1046	0	0	0	1	0	0	0	0	0	1
gene_1047	0	0	0	0	0	0	0	1	0	0
gene_1048	0	0	0	4	1	1	2	4	0	3
gene_1049	0	0	0	15	1	3	0	14	2	9
gene_105	0	0	0	3	0	0	0	6	0	2
gene_1050	0	0	0	12	1	2	3	14	5	2
gene_1051	0	0	0	6	0	0	0	4	3	1
gene_1052	0	0	0	5	0	1	0	5	0	3
gene_1053	0	0	0	27	3	4	3	27	9	20
gene_1054	0	0	0	13	1	7	3	14	4	14
gene_1055	0	0	0	0	0	1	1	4	4	5
gene_1056	0	0	0	9	1	1	1	29	3	6
gene_1057	0	0	0	1	0	2	0	0	0	0
gene_1058	0	0	0	11	2	1	0	7	0	5
gene_1059	0	0	0	143	0	17	20	118	29	85
gene_106	0	0	0	7	0	2	3	23	2	5
gene_1060	0	0	0	60	4	7	10	67	9	42
gene_1061	0	0	0	7	0	2	0	5	3	3
gene_1062	0	0	0	3	0	0	2	10	1	3
gene_1063	0	0	0	6	0	0	0	6	3	6
gene_1064	0	0	0	9	0	0	0	8	2	3
gene_1065	0	0	0	22	1	12	6	30	15	15
gene_1066	0	0	0	257	19	18	36	198	54	94
gene_1067	0	0	0	52	3	18	8	89	25	35
gene_1068	0	0	0	20	0	2	11	25	2	15
gene_1069	0	0	0	0	0	0	0	0	0	0
gene_107	0	0	0	50	3	9	3	63	14	51
gene_1070	0	0	0	0	0	0	0	0	0	0
gene_1071	0	0	0	2	0	0	0	2	1	0
gene_1072	0	0	0	7	0	2	1	9	2	2
gene_1073	1	0	0	2	0	0	0	0	0	1
gene_1074	0	0	0	6	0	0	2	7	4	10
gene_1075	0	0	0	26	0	2	5	29	14	13
gene_1076	0	0	0	54	5	22	19	139	38	85
gene_1077	0	0	0	11	0	7	0	18	4	11
gene_1078	0	0	0	24	0	0	2	16	2	14
gene_1079	0	0	0	37	4	9	3	51	14	28
gene_108	0	0	0	19	0	0	6	23	2	14
gene_1080	0	0	0	14	2	16	5	41	16	14
gene_1081	0	0	0	2	0	0	0	1	0	1
gene_1082	0	0	0	5	0	3	5	7	2	4
gene_1083	0	0	0	0	0	1	0	2	0	0
gene_1084	0	0	0	27	1	5	2	22	4	13
gene_1085	0	0	0	13	0	4	3	15	6	8
gene_1086	0	0	0	4	0	0	0	5	0	5
gene_1087	0	0	0	1	0	0	0	0	0	1
gene_1088	0	0	0	36	1	4	2	44	13	24
gene_1089	0	0	0	7	0	1	4	7	0	3
gene_109	0	0	0	20	0	1	2	19	8	8
gene_1090	0	0	0	34	5	2	3	24	9	15
gene_1091	0	0	0	22	5	6	7	38	10	24
