GeneID	GGHNY	GGHNZ	GGHOA	GGHOH	GGHON	GGHOO	GGHOP	GGHOS	GGHOT	GGHOB	GGHOC	GGHOG
gene_4893	0	0	0	9	2	3	3	28	33	2	3	11
gene_4894	0	0	0	39	16	4	2	17	30	3	6	21
gene_4895	0	0	0	47	12	9	0	38	23	4	12	20
gene_4896	0	0	0	45	32	33	0	14	9	2	2	4
gene_4897	0	0	0	30	14	13	1	18	16	5	7	8
gene_4898	0	0	0	9	6	4	2	8	7	4	1	3
gene_4899	0	0	0	40	8	10	3	35	35	6	9	22
gene_49	0	0	0	3	0	4	3	9	10	0	3	4
gene_490	0	0	0	6	1	2	1	9	18	0	2	12
gene_4900	0	0	0	25	9	6	0	13	16	4	1	5
gene_4901	0	0	0	0	0	0	0	0	0	0	0	0
gene_4902	0	0	0	21	9	9	4	9	19	4	11	14
gene_4903	0	0	0	23	21	7	0	20	25	1	4	13
gene_4904	0	0	0	5	0	1	1	7	6	1	8	4
gene_4905	0	0	0	2	0	0	0	2	0	1	0	0
gene_4906	0	0	0	68	40	26	6	70	76	6	33	47
gene_4907	0	0	0	7	4	0	0	10	6	0	3	2
gene_4908	0	0	0	106	53	24	13	90	124	12	24	28
gene_4909	0	0	0	46	35	20	2	33	23	8	8	20
gene_491	0	0	0	20	6	12	3	12	16	5	3	8
gene_4910	0	0	0	0	0	0	0	0	0	0	0	0
gene_4911	0	0	0	10	3	4	0	1	0	0	0	0
gene_4912	0	0	0	8	2	0	0	0	0	0	0	0
gene_4913	0	0	0	46	13	20	3	31	52	3	8	18
gene_4914	0	0	0	0	0	2	0	5	7	1	1	3
gene_4915	0	0	0	13	3	1	1	17	13	1	9	4
gene_4916	0	0	0	54	30	17	12	63	67	13	29	53
gene_4917	0	0	0	70	41	28	5	39	46	7	10	28
gene_4918	0	0	0	69	26	18	10	100	32	5	22	8
gene_4919	0	0	0	11	3	3	5	33	33	14	15	12
gene_492	0	0	0	0	0	0	0	0	0	0	0	0
gene_4920	0	0	0	50	26	12	5	48	41	22	16	29
gene_4921	0	0	0	361	140	132	49	643	518	104	213	280
gene_4922	0	0	0	540	271	173	46	466	444	64	114	187
gene_4923	0	0	0	0	0	0	0	0	0	0	0	0
gene_4924	0	0	0	3	4	1	1	1	1	1	0	1
gene_4925	0	0	0	53	15	11	10	37	29	6	9	19
gene_4926	0	0	0	0	0	0	0	0	0	0	0	0
gene_4927	0	0	0	0	0	0	0	0	0	0	0	0
gene_4928	0	0	0	1	0	0	1	2	7	0	2	4
gene_4929	0	0	0	0	0	1	0	0	2	0	2	1
gene_493	0	0	0	0	0	0	0	0	0	0	0	0
gene_4930	0	0	0	20	2	2	1	8	14	0	3	2
gene_4931	0	0	0	91	34	26	19	111	127	32	36	83
gene_4932	0	0	0	33	16	5	3	9	27	4	6	17
gene_4933	0	0	0	0	0	0	0	1	0	0	0	1
gene_4934	0	0	0	0	0	0	0	0	0	0	0	0
gene_4935	0	0	0	77	21	17	4	24	20	7	14	19
gene_4936	0	0	0	2	1	1	6	12	15	1	2	8
gene_4937	0	0	0	71	20	14	9	86	88	24	30	45
gene_4938	0	0	0	78	59	32	5	44	54	17	19	42
gene_4939	0	0	0	38	22	10	3	15	37	10	9	26
gene_494	0	0	0	17	5	3	3	17	23	2	7	4
gene_4940	0	0	0	6	6	2	0	2	5	1	1	1
gene_4941	0	0	0	48	19	13	7	46	46	9	18	36
gene_4942	0	0	0	4	2	1	3	2	5	2	4	3
gene_4943	0	0	0	450	377	131	48	330	279	43	135	126
gene_4944	0	0	0	0	0	0	0	0	1	0	0	0
gene_4945	0	0	0	19	3	4	0	20	19	4	7	5
gene_4946	0	0	0	0	0	0	0	1	0	0	0	0
gene_4947	0	0	0	0	0	0	0	1	1	0	0	3
gene_4948	0	0	0	0	0	0	0	0	0	0	0	0
gene_4949	0	0	0	0	0	1	0	0	0	1	0	0
gene_495	0	0	0	4	4	2	3	11	13	0	2	2
gene_4950	0	0	0	0	0	0	0	0	0	0	0	0
gene_4951	0	0	0	0	0	0	0	0	0	0	0	0
gene_4952	0	0	0	655	281	267	83	886	953	166	282	497
gene_4953	0	0	0	6	8	5	17	102	106	5	27	15
gene_4954	0	0	0	0	0	0	0	0	1	0	0	1
gene_4955	0	0	0	36	33	13	3	40	38	9	11	32
gene_4956	0	0	0	0	3	2	1	2	1	0	2	2
gene_4957	0	0	0	0	0	0	0	0	0	0	0	0
gene_4958	0	0	0	184	64	63	19	130	116	16	29	47
gene_4959	0	0	0	19	8	4	1	8	9	1	3	4
gene_496	0	0	0	104	47	29	10	74	75	4	20	35
gene_4960	0	0	0	57	38	17	7	51	55	9	19	30
gene_4961	0	0	0	78	67	29	8	64	51	5	22	26
gene_4962	0	0	0	15	6	4	0	9	15	2	4	7
gene_4963	0	0	0	19	9	6	1	14	23	1	2	7
gene_4964	0	0	0	17	14	10	3	12	19	2	6	7
gene_4965	0	0	0	9	1	5	1	3	1	2	1	3
gene_4966	0	0	0	12	1	9	3	11	14	3	5	5
gene_4967	0	0	0	1	9	0	0	4	0	0	0	3
gene_4968	0	0	0	51	23	9	8	34	44	7	15	12
gene_4969	0	0	0	0	0	0	0	0	0	0	0	0
gene_497	0	0	0	58	23	23	3	66	64	18	22	46
gene_4970	0	0	0	4	3	1	4	13	12	3	6	7
gene_4971	0	0	0	3	5	4	2	2	5	0	0	3
gene_4972	0	0	0	74	33	14	9	61	60	10	17	28
gene_4973	0	0	0	5	4	4	1	11	4	0	3	3
gene_4974	0	0	0	14	9	13	4	14	20	4	4	11
gene_4975	0	0	0	3	2	2	0	1	4	4	1	0
gene_4976	0	0	0	30	15	14	8	24	18	2	4	21
gene_4977	0	0	0	9	2	0	1	17	11	1	5	3
gene_4978	0	0	0	16	7	5	0	11	23	6	8	11
gene_4979	0	0	0	1	0	1	0	5	3	0	2	1
gene_498	0	0	0	4	6	6	0	3	5	0	0	1
gene_4980	0	0	0	26	13	12	2	29	17	0	5	9
gene_4981	0	0	0	38	17	13	2	40	21	4	5	7
gene_4982	0	0	0	3	1	1	0	2	2	0	1	0
gene_4983	0	0	0	0	0	0	0	1	3	0	0	0
