GeneID	GCYPW	GCYPX	GCYPZ	GCYSA	GCYSB	GCYSC	GCYSG	GCYSH	GCYSN	GCYSO	GCYSP	GCYSS
gene_2759	0	0	0	0	0	0	0	0	0	0	0	1
gene_276	0	0	0	6	14	9	6	23	65	22	65	39
gene_2760	0	0	0	8	8	3	2	12	22	8	17	8
gene_2761	0	0	0	0	0	2	1	0	3	18	142	3
gene_2762	0	0	0	10	24	14	3	7	9	7	9	3
gene_2763	0	0	0	4	2	2	0	0	6	0	5	4
gene_2764	0	0	0	1	11	2	0	6	12	4	11	3
gene_2765	0	0	0	16	22	5	1	7	9	1	7	18
gene_2766	0	0	0	14	46	11	4	7	17	16	13	17
gene_2767	0	0	0	10	23	1	3	7	12	5	6	9
gene_2768	0	0	0	4	7	5	17	7	9	10	20	4
gene_2769	0	0	0	0	0	0	0	0	0	0	0	0
gene_277	0	0	0	13	21	8	4	3	6	5	10	2
gene_2770	0	0	0	0	11	0	8	1	6	3	1	4
gene_2771	1	0	0	23	46	30	33	58	80	62	95	80
gene_2772	0	0	0	27	44	22	14	28	50	58	63	27
gene_2773	0	0	0	0	1	0	4	0	4	3	3	2
gene_2774	0	0	0	0	2	0	0	8	12	10	27	6
gene_2775	0	0	0	27	47	30	8	21	33	23	24	25
gene_2776	0	0	0	30	60	18	4	10	28	8	17	9
gene_2777	0	0	0	14	34	15	2	16	21	10	18	10
gene_2778	0	0	0	1	3	2	1	3	5	1	4	1
gene_2779	0	0	0	0	0	1	0	1	1	0	0	0
gene_278	0	0	0	0	3	2	0	0	0	0	0	0
gene_2780	0	0	0	0	0	0	0	1	0	0	0	1
gene_2781	0	0	0	4	13	8	6	5	12	10	16	5
gene_2782	0	0	0	5	15	6	2	18	17	4	8	8
gene_2783	0	0	0	6	7	4	0	4	8	4	4	4
gene_2784	0	0	0	31	56	28	16	24	47	54	34	39
gene_2785	0	0	0	16	31	15	3	16	25	15	12	17
gene_2786	0	0	0	10	21	5	1	10	15	13	12	16
gene_2787	0	0	0	7	15	4	2	8	8	3	13	7
gene_2788	0	0	0	0	0	0	0	0	0	0	0	0
gene_2789	0	0	0	3	7	1	2	7	6	6	9	11
gene_279	0	0	0	4	7	4	3	3	10	19	22	4
gene_2790	0	0	0	3	16	4	8	7	16	1	13	7
gene_2791	0	0	0	2	9	0	0	1	0	2	0	0
gene_2792	0	0	0	49	113	47	30	32	60	44	66	61
gene_2793	0	0	0	13	22	4	3	4	7	11	12	5
gene_2794	0	0	0	10	18	4	5	6	8	0	5	3
gene_2795	0	0	0	0	3	1	0	3	1	1	0	1
gene_2796	0	0	0	1	0	1	0	2	3	1	1	1
gene_2797	0	0	0	193	421	83	81	107	211	123	132	157
gene_2798	0	0	0	5	7	8	4	5	9	5	2	5
gene_2799	0	0	0	14	25	5	5	11	25	18	14	14
gene_28	0	0	0	19	12	5	1	13	18	10	14	5
gene_280	0	0	1	12	26	14	2	13	9	7	12	12
gene_2800	0	0	0	8	18	12	2	11	21	13	30	13
gene_2801	0	0	0	128	195	73	52	140	172	94	154	108
gene_2802	0	0	0	0	0	0	0	0	0	0	0	0
gene_2803	0	0	0	0	2	0	0	1	3	0	0	1
gene_2804	0	0	0	0	0	0	0	0	0	0	0	0
gene_2805	0	0	0	8	16	10	6	5	20	2	11	10
gene_2806	0	0	0	8	21	7	4	4	8	8	4	4
gene_2807	0	0	0	6	14	5	1	8	6	8	6	7
gene_2808	0	0	0	0	0	0	0	0	0	0	0	0
gene_2809	0	0	0	26	37	15	17	24	41	45	34	27
gene_281	0	0	0	1	7	1	2	2	9	5	8	4
gene_2810	0	0	0	0	0	0	0	0	0	0	1	0
gene_2811	0	0	0	8	16	12	0	6	17	7	3	6
gene_2812	0	0	0	36	75	41	7	26	51	38	33	11
gene_2813	1	0	0	2	1	1	0	0	0	1	0	4
gene_2814	0	0	0	3	6	5	1	2	5	7	10	7
gene_2815	0	0	0	8	12	7	2	9	17	5	7	2
gene_2816	0	0	0	4	3	4	1	3	3	0	0	1
gene_2817	0	0	0	0	0	0	0	0	0	0	0	0
gene_2818	0	0	0	3	11	3	0	4	3	0	6	3
gene_2819	0	0	0	3	6	2	6	8	15	6	31	13
gene_282	0	0	0	11	34	13	6	11	25	7	12	16
gene_2820	0	0	0	14	24	9	28	49	71	63	107	50
gene_2821	0	0	0	14	25	15	4	23	23	19	37	15
gene_2822	0	0	0	1	6	4	0	1	2	1	1	0
gene_2823	0	0	0	0	5	1	1	9	5	6	4	1
gene_2824	0	0	0	2	5	5	4	11	8	3	9	10
gene_2825	0	0	0	0	0	0	0	0	0	0	1	0
gene_2826	0	0	0	4	3	2	0	4	9	0	2	4
gene_2827	0	0	0	0	4	3	17	8	14	14	5	14
gene_2828	0	0	0	3	7	4	1	1	1	2	0	0
gene_2829	0	0	0	6	7	0	0	2	11	6	8	3
gene_283	0	0	0	0	7	5	3	6	13	3	4	3
gene_2830	1	0	0	97	156	78	58	91	141	138	161	143
gene_2831	0	0	0	2	3	1	0	6	7	3	3	4
gene_2832	0	0	0	0	0	0	0	0	0	0	0	0
gene_2833	0	0	0	16	17	12	1	14	17	13	16	15
gene_2834	0	0	0	11	15	6	2	4	5	1	6	2
gene_2835	0	0	0	0	0	0	1	1	2	2	2	0
gene_2836	0	0	0	22	41	17	17	25	40	29	36	27
gene_2837	0	0	0	2	3	2	1	3	1	1	2	1
gene_2838	0	0	0	113	41	28	20	24	22	44	47	36
gene_2839	0	0	0	0	0	0	0	0	0	0	0	0
gene_284	0	0	0	2	11	3	1	4	14	3	4	7
gene_2840	0	0	0	20	48	15	10	9	28	15	27	18
gene_2841	0	0	0	39	120	34	5	43	126	17	72	47
gene_2842	0	0	0	42	91	37	13	32	56	14	28	29
gene_2843	0	0	0	3	6	5	3	1	5	2	3	5
gene_2844	0	0	0	0	0	1	2	3	1	1	4	1
gene_2845	0	0	0	4	6	2	3	8	6	0	0	2
gene_2846	0	0	0	7	7	4	1	5	9	13	11	6
gene_2847	0	0	0	110	194	96	87	205	287	143	316	229
gene_2848	0	0	0	7	16	9	2	5	7	2	7	7
gene_2849	0	0	0	0	2	1	1	0	1	0	1	0
gene_285	0	0	0	9	19	7	1	4	8	8	4	4
gene_2850	0	0	0	5	7	4	2	3	4	3	9	3
gene_2851	0	0	0	1	5	3	3	2	4	1	5	1
gene_2852	0	0	0	0	1	0	0	1	2	0	0	2
gene_2853	0	0	0	0	0	1	0	1	1	0	0	0
gene_2854	0	0	0	0	0	0	0	0	0	0	0	0
gene_2855	0	0	0	0	0	0	0	0	0	0	0	0
gene_2856	0	0	0	0	0	0	0	0	0	0	0	0
gene_2857	0	0	0	0	0	0	0	0	0	0	0	0
gene_2858	0	0	0	0	0	0	0	0	0	0	0	1
gene_2859	0	0	0	1	2	0	0	1	1	0	0	0
gene_286	0	0	0	56	63	37	14	27	63	22	34	44
gene_2860	0	0	0	36	43	23	15	20	44	27	32	15
gene_2861	0	0	0	1	4	1	0	8	1	2	3	2
gene_2862	0	0	0	3	3	2	0	8	0	3	1	6
gene_2863	0	0	0	0	1	0	0	2	0	1	0	1
gene_2864	0	0	0	0	1	0	0	0	0	0	0	0
gene_2865	0	0	0	1	3	5	0	2	2	0	1	1
gene_2866	0	0	0	11	28	27	14	10	34	10	22	16
gene_2867	0	0	0	7	7	3	0	1	9	2	5	1
gene_2868	0	0	0	52	100	37	9	32	72	39	61	49
gene_2869	0	0	0	167	454	111	57	139	297	74	130	120
gene_287	0	0	0	1	3	1	0	1	2	0	0	1
gene_2870	0	0	0	13	18	6	4	11	16	10	11	14
gene_2871	0	0	0	2	13	10	1	3	9	3	14	3
gene_2872	0	0	0	12	15	11	4	7	11	8	13	3
gene_2873	0	0	0	7	16	12	1	9	18	4	6	5
gene_2874	0	0	0	5	10	0	0	1	2	2	3	1
gene_2875	0	0	0	0	0	0	1	0	3	0	0	0
gene_2876	0	0	0	120	80	34	12	36	70	85	55	53
gene_2877	0	0	0	3	4	0	2	1	6	1	8	6
gene_2878	0	0	0	1	3	0	0	0	5	0	4	1
gene_2879	0	0	0	5	6	2	2	1	6	2	2	1
gene_288	0	0	0	0	0	0	0	0	0	0	0	0
gene_2880	0	0	0	36	60	23	6	11	30	9	12	19
gene_2881	0	0	0	1	1	1	1	30	48	3	12	13
gene_2882	0	0	0	2	2	2	2	9	8	2	8	5
gene_2883	0	0	0	2	6	1	2	1	3	3	1	3
gene_2884	0	0	0	0	0	0	0	0	3	0	0	0
gene_2885	0	0	0	1	6	1	1	1	5	1	4	2
gene_2886	0	0	0	0	0	0	0	0	0	0	0	0
gene_2887	0	0	0	0	0	0	0	0	0	0	0	0
gene_2888	0	0	0	0	0	0	0	0	0	0	0	0
gene_2889	0	0	0	0	0	0	0	0	0	0	0	0
gene_289	0	0	0	4	4	3	0	1	0	1	0	0
gene_2890	0	0	0	0	0	0	0	0	0	0	0	0
gene_2891	0	0	0	0	3	1	0	1	1	0	0	0
gene_2892	0	0	0	0	1	0	0	0	0	0	0	0
gene_2893	0	0	0	37	56	29	17	35	46	22	29	39
gene_2894	0	0	0	45	80	41	23	57	69	47	80	60
gene_2895	0	0	0	8	9	5	1	4	8	8	3	7
gene_2896	0	0	0	1	14	4	1	3	1	1	1	0
gene_2897	0	0	0	10	17	17	2	15	19	8	10	6
gene_2898	0	0	0	40	32	14	10	20	52	37	31	39
gene_2899	0	0	0	5	6	7	4	3	6	4	6	7
gene_29	0	0	0	47	53	17	12	15	29	20	33	29
gene_290	0	0	0	0	0	0	0	1	0	1	0	0
gene_2900	0	0	0	16	31	18	8	9	22	9	18	12
gene_2901	0	0	0	1	6	1	1	2	3	1	4	0
gene_2902	2	0	0	39	67	18	18	23	51	25	26	29
gene_2903	0	0	0	4	8	0	3	2	7	2	8	4
gene_2904	0	0	0	4	9	4	4	5	13	6	6	8
gene_2905	0	0	0	14	33	8	4	9	26	13	24	7
gene_2906	0	0	0	2	4	1	1	3	1	0	5	4
gene_2907	0	0	0	12	10	5	3	8	17	7	14	9
gene_2908	0	0	0	1	2	2	1	5	5	2	12	5
gene_2909	0	0	0	3	9	3	2	2	9	3	6	2
gene_291	1	0	0	3	8	4	3	11	18	5	6	7
gene_2910	0	0	0	38	66	26	25	36	48	37	47	34
gene_2911	0	0	0	0	0	0	0	0	1	0	0	0
gene_2912	0	0	0	17	28	7	4	5	12	1	11	3
gene_2913	0	0	0	8	37	15	7	19	22	16	13	18
gene_2914	0	0	0	16	26	5	9	13	15	6	10	18
gene_2915	0	0	0	22	55	17	11	15	55	13	19	22
gene_2916	0	0	0	28	37	8	8	11	22	8	10	16
gene_2917	0	0	0	4	14	4	0	6	8	1	2	3
gene_2918	0	0	0	9	16	20	6	14	41	22	33	11
gene_2919	0	0	0	2	3	4	2	5	7	1	10	2
gene_292	0	0	0	10	16	4	40	14	19	56	25	12
gene_2920	0	0	0	0	2	0	0	5	4	2	2	0
gene_2921	0	0	0	1	2	1	1	3	5	1	1	2
gene_2922	0	0	0	34	103	39	21	37	71	17	42	34
gene_2923	0	0	0	0	4	2	2	3	5	5	11	7
gene_2924	0	0	0	18	14	12	8	6	14	11	14	17
gene_2925	0	0	0	11	23	9	16	29	39	24	30	18
gene_2926	0	0	0	3	4	0	0	1	3	0	4	5
gene_2927	0	0	0	3	10	3	2	1	6	3	6	2
gene_2928	0	0	0	62	95	27	21	29	54	52	57	57
gene_2929	0	0	0	8	20	8	4	6	10	4	7	2
gene_293	0	0	0	1	3	4	0	7	4	7	1	1
gene_2930	0	0	0	0	0	0	0	0	0	0	1	0
gene_2931	0	0	0	6	66	7	15	107	137	25	102	137
gene_2932	0	0	0	2	1	0	4	7	3	18	16	10
gene_2933	0	0	0	0	4	1	3	7	7	8	18	9
